,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
21,Drxzzyfiez,F/A 🇧🇷 (500💴) 1X TOP (7),,165,450,3684,4,"CODE GXLDENZIN1X #AD
SIGO TODOS DOU RT https://t.co/C1BaFIA6h1",['AD']
22,donducorte,Siga e fique por dentro das novidades e lançamentos de cortes e tendências lançados por @donducorteoficial em #donswave.😇✂️,"Ibirité, Brasil",208,28,134,0,Corte Disfarçado com detalhe..freestyle livre cartas #Influencer  #InfluencerChallenge  #influencers https://t.co/QBslkKeueN,"['Influencer', 'InfluencerChallenge', 'influencers']"
23,sniikzSZ,16y - @nikokzk,,585,357,11796,2,"💙 Usem o meu código ""Slowlyy"" caso queiram me apoiar. #ad https://t.co/DgIWspLeqx",['ad']
24,SlowlyyLeaks,Code: Slowlyy #ad | 🇧🇷 | Fortnite Leaks & News | @slowlyybtw,Athena,624,3221,18085,2,"💙 Usem o meu código ""Slowlyy"" caso queiram me apoiar. #ad https://t.co/DgIWspLeqx",['ad']
25,garcia_inae,,,163,60,37493,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
26,caiopi1,"G0D Player for @olimpusgg1
Business Contact📧: ftncaio@gmail.com
Streamer on twitch 💜",USE CODE 'TWITCH-CAIOPI1' #Ad,557,222,4317,0,use code twitch-caiopi1 pra comprar esse bananao ou a faca dele🤩🍌 #Ad https://t.co/YeIEk47SXG,['Ad']
27,httpscatatina,vamos usar todas as cores 🌈 ⋆ a/ela/-a ⋆ she/her ⋆ 여자요 ⋆ 18 anos ⋆,"Tucuruí, Brasil",756,481,30281,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
28,gustavosemsilva,no momento só tô comentando de bbb e dos meus gatos,"HollyUdi, Brazil",568,833,15048,0,Gente pq tem que colocar #publi no Instagram? Não pode fazer sem isso não?,['publi']
29,MarthaCarneiro1,Martha,"Rio de Janeiro, Brasil",458,299,62267,270,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
30,caiopi1,"G0D Player for @olimpusgg1
Business Contact📧: ftncaio@gmail.com
Streamer on twitch 💜",USE CODE 'TWITCH-CAIOPI1' #Ad,557,222,4317,0,@Brasil_Fortnite code TWITCH-CAIOPI1 #Ad 🤩🍌,['Ad']
31,Minajnogroupsx,"Morango do Nordeste |  Barb  |
ele/dele","João Pessoa, Brasil",342,88,20875,344,"Geeeeeente a @TimBrasil me convidou para dar voz a um manifesto. Vamos falar sobre identidades femininas da atualidade. E não tem melhor momento para falar sobre quão somos orgulhosas de sermos nós mesmas. Vem comigo! 💙
#ImagineAspossibilidades #publi https://t.co/vc5u6yoNGB",[]
32,AfonsoSilvaDaS1,https://t.co/Z507JqYvsU,"Gondomar, Portugal",260,250,1629,1,FINALMENTE! Apoie o canal usando o código: INSIDEROFICIAL na loja de itens #ad https://t.co/FqPeEfKzKV,['ad']
33,adidasalerts,"adidas Releases, Restocks, and News by @seventwelveco • tweets contain affiliate links","Herzogenaurach, Germany",7,287020,42465,0,"10am ET / 7am PT via #adidas Confirmed.
adidas ZX Fury.
—&gt; https://t.co/AOCoGfEhr9  #ad https://t.co/Z8whwfZRsN","['adidas', 'ad']"
34,filhadaviola,suave como um furacão; tranquila como um vulcão; elA faz o infarto delA!,Beagá - Minas Gerais ,318,322,28802,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
35,jrsilbernagel,"Noob player de varios jogos, e com 60hrz chorando...

https://t.co/BMWs7MoD1J","Rio de Janeiro, Brasil",147,137,7887,0,Use code JRSILBERNAGEL na loja de itens #ad #FortniteSeason6 https://t.co/wf4RE67PsJ,"['ad', 'FortniteSeason6']"
36,gabilolo_,tobesolonely,,229,185,22994,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
37,larrubianatasha,"mesmo que meus olhos não te vejam, meu coração saberá onde te encontrar. 18/03🥀🖤","Jacarepaguá, Rio de Janeiro",204,220,5214,344,"Geeeeeente a @TimBrasil me convidou para dar voz a um manifesto. Vamos falar sobre identidades femininas da atualidade. E não tem melhor momento para falar sobre quão somos orgulhosas de sermos nós mesmas. Vem comigo! 💙
#ImagineAspossibilidades #publi https://t.co/vc5u6yoNGB",[]
38,insider_fortn,O seu melhor canal de Fortnite | https://t.co/V54b1Da91V | Canal livre de clickbaits | Novidades e vazamentos | Tudo sobre Fortnite!,Use o código: insideroficial,5,92713,3470,1,FINALMENTE! Apoie o canal usando o código: INSIDEROFICIAL na loja de itens #ad https://t.co/FqPeEfKzKV,['ad']
39,fekiirXd,,,185,36,3,6,"CONSEGUI FAZER CODE KKKKKKKKKKKKKKK

QUEM QUISER ME APOIAR, TA AÍ BLZ CHAT

CODE: snopeys #AD https://t.co/sgNKBnIgqY",['AD']
40,ySCARED1X,player for @mekgg_ 💙/150 earning /ps5 player fraguer/ @LOVES_RETAKE  / streamer for @twitchbr 💜/ @ExitlagBr afiliat❤,"São Paulo, Brasil",352,138,2642,1,ARENA TRIO | NOVO TIME #GONEWAGE | USE CODE DADPLAYER #AD | RESGATE SUA SKIN VENDO A LIVE | !instagram !loja https://t.co/E42ZEyTisW,"['GONEWAGE', 'AD']"
41,amaisflop,"༄ 𝚌𝚊𝚗 𝚠𝚎 𝚓𝚞𝚜𝚝 𝚋𝚎 𝚑𝚘𝚗𝚎𝚜𝚝?  ❀ ᴄʀʏ ʙᴀʙʏ a-ela-a


              Conta reserva: @aftermels",,1241,1361,17384,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
42,y_brunetti,,"Mogi das Cruzes, Brasil",404,223,3072,2,USE CODE NEXCAUU #AD quase 100 dol ajuda ae https://t.co/3lGm33bhOE,['AD']
43,jmoura_02,18,póvoa de varzim,333,704,21340,0,vou fazer uma thread de documentários de assassinos e de casos criminais porque #influencer #blogueira faz assim:,"['influencer', 'blogueira']"
44,itskittynor,,,60,130,394,0,código kity #ad https://t.co/URsKmF40Wa,['ad']
45,souzinha_o,@FNCompetitive x,"Foz do Iguaçu, Brasil",266,103,3774,4,"CODE GXLDENZIN1X #AD
SIGO TODOS DOU RT https://t.co/C1BaFIA6h1",['AD']
46,AnaCris11806230,"PARAIBANA/
GEMINIANA/ FLAMENGUISTA","Paraiba, Brasil",105,232,31341,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
47,phszz3r4,"IG: Pedro_Sforz4
Random, random, random",,174,79,635,2,USE CODE NEXCAUU #AD quase 100 dol ajuda ae https://t.co/3lGm33bhOE,['AD']
48,monteiroamands,"Pés livres, mãos dadas, olhos abertos. ♡
Pisciana, preta, nortista, criadora de conteúdo.","Manaus, Brasil",180,1398,15026,0,eu espero que vcs entendam que o fluxo de #publi eh pq a gata precisa pagar as contas e comer,['publi']
49,CRVG_RAFA11,TT NOVO 😡/ @ligeirinD 👩‍❤️‍💋‍👨🥰/Ana Gabrielle🥀/D’LUA🌙🥀,08/01/2021🥀/13/01👩‍❤️‍💋‍👨,1069,2008,33797,179,"a @TIMBrasil me convidou pra refletir sobre ser mulher. eu sempre penso nessa parte da minha história, que mudou com o apoio de tantas mulheres.  elas que me apoiaram no início e me apoiam até hoje 💙 #ImagineAsPossibilidades #ad https://t.co/tDQDp2lqme",[]
50,AgenciaM,"Agência Multisoluções em Propaganda e Marketing
https://t.co/UyzvUmPJnx
http://t.co/2S4X7omrEr",Brasil,341,826,4718,0,"Boa Noite, vamos alavancar os negócios ? #marketing #socialmedia #propaganda #criarsite #brindes https://t.co/OEVaE4130J","['marketing', 'socialmedia', 'propaganda', 'criarsite', 'brindes']"
51,NOVANTA_HS,"Pai
Professor 
Streamer
Etc","Teresópolis, Brasil",514,146,2675,0,"🛒 Loja do dia March 18, 2021 at 09:15PM 🛒 
Apoie Usando a Tag BatataGamer 🥔 🥔 🥔 #ad
#Fortnite https://t.co/TfzhjOQATK","['ad', 'Fortnite']"
52,aaimFN,13yo l competitive player for ? l console fudido que só sabe mata cara andando reto l,,672,134,1013,4,"CODE GXLDENZIN1X #AD
SIGO TODOS DOU RT https://t.co/C1BaFIA6h1",['AD']
53,PequenaJota,"Goddamn, man-child",,3305,3248,68043,935,"#publicidade Agora que vocês já sabem que sou a nova Head de Conteúdo de @tanqueraybr, vocês me perguntam: Manu, como se fala “Tanqueray”? Nesse vídeo desenvolvi uma técnica inconfundível para vocês! #TanquerayInconfundivel https://t.co/bXFDTJ76Mw",['publicidade']
54,gabymendonca21,"Que todo mal vire amor, que toda dor vire flor. 💞🌸",Brasil,166,242,4633,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
55,Kidplayer14,"Olá sou o Kid Player(Leandro), sou mini pro-player de fortnite ! | Perfil administrado pelos pais | Playing for @newage_e!
Patrocínio:@RazerBrazil @pichauinfo","Dois Córregos, Brasil",1154,32580,5084,1,ARENA TRIO | NOVO TIME #GONEWAGE | USE CODE DADPLAYER #AD | RESGATE SUA SKIN VENDO A LIVE | !instagram !loja https://t.co/E42ZEyTisW,"['GONEWAGE', 'AD']"
56,EuflaP,,,627,138,4497,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
57,1lucxszz,,,60,5,100,4,"CODE GXLDENZIN1X #AD
SIGO TODOS DOU RT https://t.co/C1BaFIA6h1",['AD']
58,Mavirocha14,3D Artist | wk w. @crowdfps @soulsdavy @mateusstormy | Code: MAVAO #AD,"code: ""mavao"" #ad",541,1527,13885,1,use code: mavao #ad https://t.co/OwnIqFei69,['ad']
59,DalvaniraCarva2,GRATIDÃO,"Fortaleza, Brasil",570,92,6816,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
60,iannzits,"🇧🇷 l code: IANNZITS #ad l Notícias e vazamentos em Português do Fortnite BR & STW l 

⭐ Cosméticos/Tarefas da Temporada 6 em pt-BR no link da bio!",,199,93199,11383,0,"💗 Embananado Potássius Frutus disponível! Considere usar meu código 'iannzits' se for adquirir #ad

Se me apoiar, não se esqueça de mandar um print ou vídeo da compra para eu te agradecer. https://t.co/4KrLTp76Is",['ad']
61,Goldenzin1x,@palmeiras|  F/A??????? |https://t.co/LOZQ5Fhdpm  // use code Gxldenzin1x. #ad | Streamer//business,"Miami Beach, FL",281,3700,8232,4,"CODE GXLDENZIN1X #AD
SIGO TODOS DOU RT https://t.co/C1BaFIA6h1",['AD']
62,juliapirin,,"São Paulo, Brasil",1215,1265,1551,387,Gente! Cheguei para contar que a @timbrasil me convidou para algo muito importante: dar voz à questões sobre as identidades femininas na mídia e na sociedade atualmente.  #ImagineAsPossibilidades #ad https://t.co/wI6xEJ2hCx,[]
63,Mariana_DM,👑🎥♊️⚖🇧🇷Geminiana e estudante de Nutrição🍓🍉🍌🍏🌽🍅🍋🍊,Brazil,1305,814,82244,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
64,SoulsDavy,designer ✨| https://t.co/zercgnYMZX,Orion/Hypzco • portfolio:,349,857,2186,1,use code: mavao #ad https://t.co/OwnIqFei69,['ad']
65,terceirotempo,"Twitter oficial do site Terceiro Tempo, marca maior do pós-jogo da televisão, rádio e internet brasileira! No BOL e UOL https://t.co/TnN6O6S8GM",Brasil,1510,111532,139560,1,"Tudo tem hora, e a hora é agora...  Aproveite os valores imperdíveis e adquira seu lote no loteamento Jardim Carmen, fase 03, em Monte Belo - MG! Saiba mais em: (35) 3573-2006. #publi https://t.co/yckLiarVgk",[]
66,YuriJosoares,"》Yuri Soares, 17y
》Fortnite Player 🇧🇷
》F/A
》Code JOSOARES-011 in the Item Shop! #ad
》Insta: YuriJosoares
》https://t.co/kxKMRSZqly",SP ZL,341,36,742,0,code: JOSOARES-011 #ad https://t.co/3WeFFVqum4,['ad']
67,Ayzin20,Twitch affiliate streamer🇵🇹 . Daily Livestreams at:👇🏻 Sponsors: @TheRogueEnergy @ggbracelets,,470,229,210,0,Quem puder ajudar com follow ou divulgação para conseguir o creator code sou muito agradecido #ad !,['ad']
68,Nexcauu23,"Competitive Player for Redline | $200 cash cup solo 🇧🇷
Twitch Streamer 9k+",,407,787,2527,2,USE CODE NEXCAUU #AD quase 100 dol ajuda ae https://t.co/3lGm33bhOE,['AD']
69,Brunosavlog,"Sinto, logo existo! 🐹 instagram: @bruna.afeitosa e eusoqueriafalar","Sao Paulo, Brazil",352,181,11540,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
70,kchorrolooko,Professional Fortnite Player | Code: KCHORRO #ad | Muito além de earnings ($1150) 🇧🇷 kchorrolooko@gmail.com,"Rio Grande do Sul, Brasil",2606,18990,8063,0,"Galera, skin nova na loja
Code ""kchorro"" #ad https://t.co/3b1U8DW44G",['ad']
71,SuperiorFN_,@TeamDelirium  @LiquefyFN | https://t.co/axKY3EvjwJ | 𝙎𝙖𝙘: 𝙎𝙪𝙥𝙚𝙧𝙞𝙤𝙧-𝙯𝙯𝙯 #ad,,303,88,715,0,@FortniteGame Code “superior-zzz” #ad,['ad']
72,nalu_022,"20 years🎬
Leonino♌
Nothing last forever🔄
Salmos 23:4🙇🏼‍♂️
 Muito bem casado ❤️
Pra todo um fim um recomeço🔄",022,478,316,1798,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
73,daisufn,Novidades e Vazamentos de Fortnite BR  | Code: Daisu #Ad,"Code “Daisu""",409,3665,10511,0,"A nova skin Potássius Frutus está disponível na Loja de Itens!

 Considere me apoiar que me ajudará muito! Code Daisu ❤ #ad https://t.co/ExiaWauoCV",['ad']
74,SniperGuaxiNoob,"olá! essa é minha conta 
jogo: fort, valorant etc
ME APOIE NA LOJA: SniperGuaxiNoob
fennix de perfil: @Cat__Griffin
banner por: mim :)
#PrintsSniperGuaxiNoob",,1014,328,7449,0,Seja o BANANÃO da partida🍌🍌 e JULGUE seus inimigos no campo de batalha com a nova skin do banana!!! 💛💛 CODE: SniperGuaxiNoob 💛💛 #Ad #FortniteSeason6 #FortnitePrimal https://t.co/w7HNNGyhFX,"['Ad', 'FortniteSeason6', 'FortnitePrimal']"
75,wweinne,"Depressivo, ansioso, preguiçoso e escritor.

MANUAL DE COMO ENTERRAR O CORPO DO EX, meu livro de poesias, à venda na Amazon Kindle.","Goiânia, Brasil",394,43,817,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
76,tomezinhow,design - https://t.co/25fYjl1HLW,sp,277,3252,29289,0,CODE TOMEZINHO1 #AD !!! https://t.co/7ZyGmeLnA4,['AD']
77,PequenaJota,"Goddamn, man-child",,3305,3248,68043,717,#publicidade Este pequeno ser que vos fala tem um comunicado importante pra fazer: Eu sou oficialmente a mais nova Head de Conteúdo da @TanquerayBr Que honra poder trabalhar com esta empresa que me deu a primeira oportunidade de criar para uma marca. Vai ser uma história linda 🖤 https://t.co/H9UY7TouXF,['publicidade']
78,_LaraaD,Artista | macaense | leonina | Pedagogia - UNESA,"Macaé, Brasil",328,462,20769,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
79,GalaxyMessenger,,"Chicago, IL",791,915,72018,138,"posso dizer q sou a fanzonca da MARVEL MAIS contente, fui respondida pelos atores da série!!! 😍 essa é a dupla q eu disse q me apaixonei!! agora vou mandar mensagem aqui pros meus migos pedindo spoiler de #FalcãoEOSoldadoInvernal. estreia AMANHÃ no @DisneyPlusBR 
#publi https://t.co/oMn9FejqI5",[]
80,parqueagradavel,Jornal semanal de Fortnite | Criador de conteúdo | Toda semana uma edição nova | Me apoie no Fortnite: OParque #ad,Sede do Parque Agradável,129,2973,3478,0,"🛒 Loja Fortnite - 19/03/2021

Vai comprar algo? Me apoie usando o code ""OParque"" para que eu continue a criar conteúdo! #ad https://t.co/JGxdNmmhT6",['ad']
81,TyrooNFN,"Leaks, loja diária e alertas do salve o mundo ! 

use code Tyroon ! #ad",via do varejo,898,726,7896,0,"Loja dia 18/03/21
Para ajudar apoie TyrooN na loja de itens do fortnite #ad https://t.co/ooMHGbrc8q",['ad']
82,elxctro,"free agent - use code elxctro #ad
~ @kauanxxzx",@elxctropriv,522,2177,18717,0,"use code elxctro #ad

ajuda ai preciso mt do dinheiro e falta pouco pra retirar https://t.co/G8eL6aO95j",['ad']
83,laisinhadoceu,,,290,19,1580,271,"HORA DA MUDANÇA: O QUE COMPRAR PARA MORAR SOZINHA?

Hoje é o dia pra você saber quanto custa morar sozinha e como economizar também!

Segue a thread 👇🏼  #publi",[]
84,ForloveEmy,seja sempre Luz na escuridão,,913,758,56508,10,#publi: Vão lá enaltecer e engajar o publi internacional de Emilly Araújo para a  @ClubLLondon https://t.co/HuyT2710op https://t.co/7AUUtaQkTT,['publi']
85,LittleTicks,"USE CODE: Master-1v4
@gabrielmaster_",,462,97,673,0,apoie code: @ocastrin #ad https://t.co/K1MRDcjvyC,['ad']
86,DTGOKU,"🔥Novidades, vazamentos loja diária+alertas de v-bucks. 
Tudo sobre Fortnite BR e STW


Apoie na loja Code: DTGOKU

obrigado de ❤️ a todo mundo que me apoia.",Na selva do fortnite,43,520,4331,0,"Na compra da nova skin do banana 
Ou de qualquer outro item , considere usar meu código DTGOKU na loja de itens isso me ajuda muito 
#ad https://t.co/4q0zP4rpZH",['ad']
87,ElDengoso,🎥 +1 Milhão de inscritos! • 3x featured • Contato Comercial: contato@dengoso.com,Use code ''Dengoso'',476,22492,40200,0,"Nova skin INCRIVEL na loja!!

Se for comprar não esquece de usar o code DENGOSO #ad https://t.co/RplUlWrz5D",['ad']
88,friskyxz,overall lead @teamrosehqs ☆ turn on notis ☆ #norcal ☆ #bewarerose ☆ @friskywhiske,code: frisky10k #ad,280,367,126,0,@FortniteGame code frisky10k #ad,['ad']
89,1nickzrr,,,410,116,1323,1,USE CODE: CROMOS &amp; AJUDA NOIS NO FIM DO MÊS #ad https://t.co/Razmv9x5aj,['ad']
90,zFrocs,"✨ - Metadinha: @daviclouds ✨
💗 - Best: @teteus22uk, @xanarqui
🕹 - Faço lives no YouTube ↓",Usa o código zfrocs! #ad,296,173,4004,0,"código zfrocs 💖
#ad https://t.co/1IYAObXzap",['ad']
91,nickss_l2,Console/Free agent/ $ 200 earnings em waggers / 17y/ @bosco__rafa,Use code Nickss-L2 #ad,331,314,325,0,se puderem usar o code Nickss-L2 #AD https://t.co/HoFmdcTdxM,['AD']
92,MEM181201,perdida nessa rede social tão amada.,👑🎙,477,528,44501,717,#publicidade Este pequeno ser que vos fala tem um comunicado importante pra fazer: Eu sou oficialmente a mais nova Head de Conteúdo da @TanquerayBr Que honra poder trabalhar com esta empresa que me deu a primeira oportunidade de criar para uma marca. Vai ser uma história linda 🖤 https://t.co/H9UY7TouXF,['publicidade']
93,oreleubaeuh,20 | @0panditos2 x @codmonsuta | #nopovienneore,old lonely oré,230,395,2380,0,code orelebaae 🥴 #ad https://t.co/rsre1gMxZq,['ad']
94,cromosXD,"Cromos, 19 anos, São Bernardo do Campo - SP Streamer & CC @eraEternity ✉️ Propostas por DM",São Bernardo do Campo,502,9637,65355,1,USE CODE: CROMOS &amp; AJUDA NOIS NO FIM DO MÊS #ad https://t.co/Razmv9x5aj,['ad']
95,paulitchanaa,"Gaúcha , Vendo uns conteúdos adultos ae e trabalho no Instagram ✨💜 ah , eu amo gatos e tenho três. 👀Me segue no insta: @Paulitchana👀",,63,36,12,0,Boa noite pessoasssssss #cat #cats #tatuada #influencer #gaucha https://t.co/kNB1maThRZ,"['cat', 'cats', 'tatuada', 'influencer', 'gaucha']"
